브랜드명_제품명,건강 고민 정보
21세기센트리_L-아르기닌 1000mg,"남성건강,운동능력&근육량"
21세기센트리_마그네슘 250mg,"스트레스&수면,여성건강"
21세기센트리_멀티비타민 & 멀티미네랄 어덜트,"갑상선건강,눈건강,면역기능,뼈건강,피부건강,혈당,호흡기건강"
21세기센트리_칼슘 마그네슘 징크 + D3,"스트레스&수면,여성건강,치아&잇몸"
CJ제일제당_BYO 바이오 20억 생유산균,"임산부&태아건강,장건강"
CJ제일제당_BYO 바이오 식물성 유산균 100,"장건강,피부건강"
CJ제일제당_BYO 바이오 식물성 피부 생유산균,피부건강
CJ제일제당_리턴업 전립소 쏘팔메토,남성건강
CJ제일제당_이너비 아쿠아리치 더블업,피부건강
CJ제일제당_이너비 아쿠아뱅크,피부건강
GC녹십자_마이크로바이옴 포스트바이오틱스,장건강
GC녹십자_비맥스 골드,"간건강,면역기능,뼈건강,피로감,피부건강,혈관혈액순환,호흡기건강"
GC녹십자_비맥스 메타,"간건강,면역기능,빈혈,뼈건강,소화&위식도건강,피로감,피부건강,혈관혈액순환,호흡기건강"
GC녹십자_비맥스 메타비,"간건강,면역기능,빈혈,뼈건강,소화&위식도건강,피로감,피부건강,혈관혈액순환,호흡기건강"
GC녹십자_비맥스 비비,"간건강,면역기능,빈혈,스트레스&수면,치아잇몸&잇몸건강,피로감,피부건강,혈관혈액순환"
GC녹십자_비맥스 액티브,"간건강,면역기능,뼈건강,피로감,피부건강,혈관혈액순환"
GC녹십자_비맥스 에버정,"면역기능,스트레스&수면"
GC녹십자_실리웰골드,간건강
GC녹십자_포스트바이오틱스 맥스,장건강
GC녹십자_프로비던스 포스트 바이오틱스 데일리,장건강
GC녹십자_훼리너프캡슐,"빈혈,임산부&태아건강"
GNC_남성 아르긴맥스,"남성건강,운동능력&근육량,피부건강"
GNC_메가맨 스포츠(해외),"간건강,갑상선건강,빈혈,피로감,피부건강,피부건강,혈관혈액순환,혈당"
GNC_밀크씨슬 엑스트라 스트렝스 650mg,간건강
GNC_우먼스울트라메가 멀티비타민&미네랄 1000mg,"눈건강,눈건강"
MIA뉴트라_엘포비 플로라,"임산부&태아건강,장건강"
RBK_트루블루 프로폴리스,치아잇몸&잇몸건강
SAN_퍼포먼스 크레아틴,운동능력&근육량
Y.S.에코비팜_프로폴리스,치아잇몸&잇몸건강
Y.S.에코비팜_프로폴리스 1000,치아잇몸&잇몸건강
가든오브라이프_닥터포뮬레이티드 프로바이오틱스 원스 데일리 우먼 500억,여성건강
가든오브라이프_마이카인드 유기농 여성 멀티비타민,혈당
가든오브라이프_우벤자임 N 조인트 헬스,소화&위식도건강
가스파리뉴트리션_아나바이트 얼티밋 퍼포먼스 멀티비타민,"갑상선건강,남성건강,면역기능,빈혈,뼈건강,뼈건강,치아&잇몸,피로감,피부건강,혈압"
경남제약_레모나 핑크,피부건강
경남제약_레모나산 C500,치아잇몸&잇몸건강
고려은단_루테인 지아잔틴 아스타잔틴,"눈건강,눈건강"
고려은단_마시는 고려은단 비타민C 1000,"치아잇몸&잇몸건강,호흡기건강"
고려은단_멀티비타민 올인원,"갑상선건강,뼈건강,치아&잇몸"
고려은단_메가도스B 활력비타민,"간건강,빈혈,피로감,혈관혈액순환"
고려은단_메가도스C 3000,치아잇몸&잇몸건강
고려은단_비타민C 1000,"노화&향산화,면역기능,치아잇몸&잇몸건강,호흡기건강"
고려은단_비타민C 1000 이지,"노화&향산화,치아잇몸&잇몸건강,호흡기건강"
고려은단_비타민C 1000 이지 + 비타민D,"노화&향산화,면역기능,뼈건강,치아잇몸&잇몸건강,호흡기건강"
고려은단_비타민C 3000,치아잇몸&잇몸건강
고려은단_비타민C 골드 프리미엄,"노화&향산화,면역기능,치아잇몸&잇몸건강,피부건강,호흡기건강"
고려은단_비타민C 골드 플러스,"치아잇몸&잇몸건강,호흡기건강"
고려은단_비타민C 골드플러스,"노화&향산화,면역기능,치아잇몸&잇몸건강,호흡기건강"
고려은단_비타민C 분말,치아잇몸&잇몸건강
고려은단_신바이오틱스,장건강
고려은단_쏠라C 레몬맛,"치아잇몸&잇몸건강,호흡기건강"
고려은단_알티지 오메가3,치아잇몸&잇몸건강
고려은단_퓨어 밀크씨슬,간건강
고려은단_퓨어 알티지 오메가3,혈중중성지방
광동제약_마이메가 100,"간건강,면역기능,스트레스&수면,피로감,피부건강"
광동제약_멀티비타민미네랄,혈당
광동제약_비타500 데일리 스틱,치아잇몸&잇몸건강
광동제약_페리비타,빈혈
그레이스클럽_그린몬스터 다이어트 14in1 녹차카테킨,"체지방,피부건강"
그레이스클럽_그린몬스터 다이어트 스페셜 투 가르시니아 900,체지방
그린스토어_(단종) 우먼 프로바이오틱스,여성건강
그린스토어_아이브라이트 아레즈투,"눈건강,눈건강,혈관혈액순환,혈중중성지방"
그린스토어_알티지 클린 오메가3,스트레스&수면
그린스토어_우먼케어 건강한 질엔,여성건강
그린스토어_피로한눈엔 루테인 아스타잔틴 오메가3,"눈건강,눈건강,눈건강,눈건강,혈중중성지방"
그린스토어_혈당엔,혈당
나우스포츠_ZMA,"스트레스&수면,여성건강"
